media_type,film_id,title,original_language,genres,popularity,vote_average,vote_count,release_year
movie,969681,Spider-Man: Brand New Day,en,"Science Fiction, Action, Adventure",1657.2333,7.9,2098,2026
movie,1368337,The Odyssey,en,"Adventure, Action, Fantasy",672.5442,7.999,3122,2026
movie,1288445,Mutiny,en,"Action, Thriller",532.9923,6.6,125,2026
movie,1084244,Toy Story 5,en,"Animation, Family, Comedy, Adventure",387.5602,8.184,1527,2026
movie,1323244,Rage of Stars,en,"Action, Science Fiction, Thriller",388.5213,4.636,33,2026
movie,634649,Spider-Man: No Way Home,en,"Action, Adventure, Science Fiction",252.1788,7.941,22816,2021
movie,1375646,Colony,ko,"Action, Horror, Science Fiction",220.8453,8.115,588,2026
movie,1339713,Obsession,en,"Horror, Thriller",284.2699,8.22,4987,2026
movie,1315772,Minions & Monsters,en,"Adventure, Animation, Comedy, Family, Fantasy",231.8791,7.519,826,2026
movie,1108427,Moana,en,"Family, Fantasy, Comedy, Adventure",250.1106,6.113,222,2026
movie,1284465,The Death of Robin Hood,en,"Adventure, Drama, Action",172.0553,6.288,243,2026
movie,1284041,The Last House,en,"Horror, Science Fiction, Thriller",158.1143,6.894,1003,2026
movie,82023,Hotel Desire,de,"Drama, Romance",185.9993,6.174,158,2011
movie,1275779,Disclosure Day,en,"Science Fiction, Thriller",161.164,7.465,2980,2026
movie,1101383,The End of Oak Street,en,"Science Fiction, Mystery, Thriller",136.3742,6.386,330,2026
movie,1212763,Evil Dead Burn,en,Horror,146.2951,7.838,1250,2026
movie,1083381,Backrooms,en,"Horror, Mystery, Science Fiction",152.9265,7.096,2927,2026
movie,687163,Project Hail Mary,en,"Science Fiction, Adventure",128.5141,8.647,7292,2026
movie,1081003,Supergirl,en,"Action, Adventure, Science Fiction",131.5168,6.727,2030,2026
movie,1273221,Scary Movie,en,Comedy,124.6124,6.444,1714,2026
movie,1523145,Your Heart Will Be Broken,ru,Romance,108.3718,7.1,121,2026
movie,1003596,Avengers: Doomsday,en,"Science Fiction, Action, Adventure",97.5399,0,0,2026
movie,454639,Masters of the Universe,en,"Action, Fantasy, Science Fiction",111.0374,7.166,1925,2026
movie,1307118,Soulm8te,en,"Horror, Science Fiction, Thriller",107.4701,7.286,245,2026
movie,755898,War of the Worlds,en,"Science Fiction, Thriller",108.2923,4.045,1097,2025
movie,1538273,Pyaar Prema Kalyanam,ta,"Romance, Comedy, Drama",103.5313,7,1,2026
movie,980431,Avatar Aang: The Last Airbender,en,"Animation, Action, Adventure, Fantasy",99.9187,9.201,959,2026
movie,1612018,Jackass: Best and Last,en,"Action, Comedy, Documentary",106.3238,7.554,177,2026
movie,1285366,Shape of My Heart,ja,Romance,137.4408,6.2,4,2024
movie,315635,Spider-Man: Homecoming,en,"Action, Adventure, Science Fiction",97.8934,7.333,23735,2017
movie,299536,Avengers: Infinity War,en,"Adventure, Action, Science Fiction",102.7902,8.2,32681,2018
movie,278,The Shawshank Redemption,en,"Drama, Crime",85.0929,8.728,31122,1994
movie,83533,Avatar: Fire and Ash,en,"Science Fiction, Adventure, Fantasy",97.646,7.646,4188,2025
movie,441168,From Straight A's to XXX,en,"Drama, TV Movie",103.2328,5.912,170,2017
movie,1594914,Lucky Strike,en,"Action, War",105.4359,7.25,32,2026
movie,1698863,The Odyssey,en,"Adventure, Fantasy, Action",104.0118,4.014,347,2026
movie,1291595,Insidious: Out of the Further,en,"Horror, Thriller",102.7501,6.7,45,2026
movie,391312,Mourning Wife,ja,"Drama, Romance",114.4772,4.5,6,2001
movie,1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,ja,"Animation, Action, Fantasy",91.0316,8.755,1954,2025
movie,557,Spider-Man,en,"Action, Science Fiction",86.2569,7.348,21240,2002
movie,1130948,Rosebush Pruning,en,"Comedy, Drama, Thriller",113.2706,6.471,17,2026
movie,1481343,The Devil's Mouth,en,"Horror, Thriller",85.0283,6.574,694,2026
movie,89657,Country Hooker,en,Drama,63.4616,3.857,7,1974
movie,1314826,Yellow Eyes,en,Horror,96.2457,4.3,3,2026
movie,1564614,Leviticus,en,"Horror, Romance",83.6284,6.7,417,2026
movie,1599191,Renegade Immortal: Battle of the Immortal Slayer,zh,"Animation, Action, Adventure, Fantasy",89.5272,0,0,
movie,1314481,The Devil Wears Prada 2,en,"Comedy, Drama",79.2885,7.068,2162,2026
movie,24428,The Avengers,en,"Science Fiction, Action, Adventure",80.0398,8.068,39377,2012
movie,936075,Michael,en,"Music, Drama",78.8838,8.671,4133,2026
movie,1280738,The Furious,zh,"Action, Crime, Thriller",74.1319,8.147,612,2026
movie,950028,The Invite,en,"Comedy, Drama, Romance",68.9528,7.341,318,2026
movie,1727780,Borderline,en,Thriller,77.6957,5.7,15,2026
movie,157336,Interstellar,en,"Adventure, Drama, Science Fiction",71.0031,8.485,40880,2014
movie,1127384,Deep Water,en,"Horror, Thriller",79.0296,7.1,416,2026
movie,1930,The Amazing Spider-Man,en,"Action, Adventure, Science Fiction",68.3969,6.756,18979,2012
movie,1439930,The Punisher: One Last Kill,en,"Action, Drama, Crime",76.1121,8.276,2128,2026
movie,1084242,Zootopia 2,en,"Animation, Adventure, Comedy, Mystery, Family",71.4974,7.679,3322,2025
movie,569094,Spider-Man: Across the Spider-Verse,en,"Animation, Action, Adventure, Science Fiction",69.9701,8.346,9095,2023
movie,964849,Nightborn,fi,Horror,77.0312,6.129,35,2026
movie,5721,Vixen!,en,Drama,69.7111,5.518,109,1968
movie,1228710,The Mandalorian and Grogu,en,"Action, Adventure, Science Fiction",67.4061,7.506,1350,2026
movie,238,The Godfather,en,"Drama, Crime",62.5713,8.686,23409,1972
movie,1226863,The Super Mario Galaxy Movie,en,"Family, Comedy, Adventure, Fantasy, Animation",87.3492,8.248,3523,2026
movie,299534,Avengers: Endgame,en,"Adventure, Science Fiction, Action",65.8542,8.24,28427,2019
movie,1290821,Shelter,en,"Action, Crime, Thriller",70.0378,7.784,1762,2026
movie,1408162,Vishwanath & Sons,ta,"Drama, Romance",54.522,8.4,7,2026
movie,1110034,Kraken,no,"Horror, Action, Thriller",66.1043,6.288,285,2026
movie,155,The Dark Knight,en,"Action, Crime, Thriller",62.0227,8.534,36492,2008
movie,194117,Woman in the Moon,it,"Drama, Romance, Crime",75.0823,5.6,8,1988
movie,1668364,Desire,es,"Mystery, Drama",65.9527,6.778,234,2026
movie,533535,Deadpool & Wolverine,en,"Action, Comedy, Science Fiction",61.9392,7.585,9260,2024
movie,27205,Inception,en,"Action, Science Fiction, Adventure",60.7361,8.372,39978,2010
movie,1493400,Camp Rock 3,en,"Music, Comedy, Drama, TV Movie, Romance",54.8258,6.494,87,2026
movie,1630409,The Debt Collector,th,"Action, Thriller, Crime",61.1356,7.873,114,2026
movie,324857,Spider-Man: Into the Spider-Verse,en,"Animation, Action, Adventure, Science Fiction",59.003,8.397,17718,2018
movie,931285,Mortal Kombat II,en,"Action, Fantasy, Adventure",57.2122,7.86,2436,2026
movie,1419406,The Shadow's Edge,zh,"Action, Crime, Drama, Thriller",61.4608,8.131,1256,2025
movie,429617,Spider-Man: Far From Home,en,"Action, Adventure, Science Fiction",58.163,7.393,17466,2019
movie,559,Spider-Man 3,en,"Action, Adventure, Science Fiction",56.23,6.477,15637,2007
movie,1417285,The Stain,th,"Horror, Thriller, Romance",47.2172,4,2,2026
movie,822119,Captain America: Brave New World,en,"Action, Thriller, Science Fiction",58.8695,5.948,3321,2025
movie,1327819,Hoppers,en,"Adventure, Animation, Comedy, Family, Science Fiction",58.2164,8.168,2224,2026
movie,1491920,Kung Fu Soccer,zh,"Drama, Comedy, Action",51.733,6.4,24,2026
movie,1569947,The Priest: Thanksgiving Massacre,en,Horror,54.0591,3.5,59,2025
movie,1125257,Freakier Friday,en,"Comedy, Fantasy, Family",47.2104,6.8,788,2025
movie,99861,Avengers: Age of Ultron,en,"Action, Adventure, Science Fiction",56.0793,7.276,24872,2015
movie,1599993,Animals,es,"Comedy, Thriller",63.9309,6.154,26,2026
movie,1242898,Predator: Badlands,en,"Action, Science Fiction, Adventure",52.0768,7.826,3526,2025
movie,1728704,Siping,tl,Drama,50.6313,4.3,5,2026
movie,1516698,The Last Sunrise,en,"Romance, Drama",52.2218,0,0,2026
movie,1698856,Master of the Universe,en,"Science Fiction, Action, Fantasy",56.4165,5.032,78,2026
movie,1007757,Swapped,en,"Adventure, Animation, Family, Fantasy",50.009,8.879,2127,2026
movie,1184918,The Wild Robot,en,"Family, Animation, Science Fiction, Adventure",49.7118,8.306,6486,2024
movie,1193950,The Dollmaker,es,"Crime, Thriller, Horror",46.6208,2,1,2025
movie,1510795,"Shake, Rattle & Roll: Evil Origins",tl,Horror,50.8959,5.737,19,2026
movie,76341,Mad Max: Fury Road,en,"Action, Adventure, Science Fiction",49.5191,7.6,24463,2015
movie,1504358,Don't Say Good Luck,en,"Comedy, Music, Drama",47.0389,7.2,58,2026
movie,102382,The Amazing Spider-Man 2,en,"Action, Adventure, Science Fiction",49.0328,6.557,14634,2014
movie,1301421,The Sheep Detectives,en,"Comedy, Family, Mystery",59.262,7.943,1503,2026
movie,617126,The Fantastic 4: First Steps,en,"Science Fiction, Adventure, Action",49.5346,6.9,3744,2025
movie,1726,Iron Man,en,"Action, Science Fiction, Adventure",49.2197,7.7,28652,2008
movie,872585,Oppenheimer,en,"Drama, History",50.4453,8.023,12305,2023
movie,603,The Matrix,en,"Action, Science Fiction",48.7214,8.255,28546,1999
movie,271110,Captain America: Civil War,en,"Adventure, Action, Science Fiction",47.6929,7.452,24434,2016
movie,1232569,Pinocchio: Unstrung,en,"Horror, Fantasy, Mystery",89.9603,7.125,44,2026
movie,122,The Lord of the Rings: The Return of the King,en,"Adventure, Fantasy, Action",45.4706,8.505,27165,2003
